Parameter,Value,,related code refs,min,default,max,"category (if min, max not N/A)",Description
initialBudget,8000,,,0,10000,999999,,Budget the player starts out with
initialSatisfaction,0,,,0,50,100,,Satisfaction the player starts out with
initialCommunityCount,3,"backend works, but visually no update (default has 3 alr in scene)",,1,3,8,,Number of communities on map. Informational: the count comes from the map (scene objects / map config); a mismatch is logged.
initialCommunityResidentCount,400,,,20,40,80,,Residents per community at game start (sets the community population; tasks assume >100).
initialDaysPerRun,8,,,1,8,10,,Number of days the game iterates through
initialRoundsPerGameDay,4,pie chart no update - ask,,1,4,8,,Number of rounds taking place each day
initialTrainedVolunteerCount,5,,,1,5,10,,"Number of ""free"" trained volunteers on game start"
initialUntrainedVolunteerCount,5,,,1,5,10,,"Number of ""free"" untrained volunteers on game start"
initialDailyBudgetAdditions,2000,,,0,3000,100000,,Dollars granted by the Daily Budget Allocation task at the start of each day from day 2.
initialExternalRelationFrequency,5,task,"BudgetAdvisory, BudgetEmergency SOs",0,5,10,,Total number of external-relation contacts per game (Storm Funding Advisory + Emergency Budget Crisis; the daily allocation is not counted). Enforced as a cap.
initialEmergencyTaskFrequency,2,task,"BudgetEmergency, CommunityFloodDamage, ShelterFloodDamage SOs",0,2,5,,"How many times in total players are given an ""emergency"" task. These fall in three categories: Budget emergency when an option for accepting additional budget is triggered during severe weather, community flood damage when the flood has reached a community and the player must relocate residents, and shelter flood damage when the flood has reached a shelter and the player must relocate residents"
initialWeather,HeavyRain,,,,Sunny,,"Sunny, SmallRain, MediumRain, HeavyRain, Storm","The weather that Day 1, Round 1 of the game starts with."
initialKitchenCapacity,100,,,5,10,40,,Meals a kitchen produces per round (also its throughput in the daily report).
initialShelterCapacity,100,,,5,10,40,,The max number of people a shelter can host at once.
initialCaseworkCapacity,400,,,5,40,40,,The max number of clients a casework site can hold at once.
initialWorkerUnitsNeededPerLocation,4,,,2,4,,UI reflection,"Worker units needed for a kitchen, shelter or casework site to operate (untrained = 1 unit, trained = 2)."
initialFoodDemandFrequency,0.2,task,"CommunityFoodReq, ShelterFoodReq SOs",0,0.2,0.5,,Probability per generation pass that a shelter with no food raises a Food Request (Shelter_FoodRequest). Community requests are not probabilistic.
initialERVCount,5,,,1,3,20,,"How many vehicles available on Day 1, Round 1 of the game to start."
initialShelterFloodDamageComparison,AtMost,initalShelterDamageFrequency params below!,,,AtLeast,,"ExactMatch, AtLeast, MoreThan, LessThan, AtMost",One of the triggers for shelter flood damage task for population relocation is how much of the shelter has been flooded. This is measured in how many map tiles of a certain radius of the shelter are affected. The comparison category tells when to trigger the shelter flood damage task compared to the number of shelter tiles currently flooded.
initialShelterFloodDamageFloodTileThreshold,1,,,0,2,5,,Number of affected flood tiles that initialShelterFloodDamageComparison is measured against.
initialShelterFloodDamageFloodDetectionRange,4,,,0,2,5,,Radius in number of tiles of the shelter that are considered for triggering the shelter flood damage task.
initialSunnyFloodExpansionRateMultiplier,0,,FloodSystem,0,,10,,Tiles the flood expands per round under Sunny.
initialSunnyFloodSpreadChanceMultiplier,0.5,,FloodSystem,0,,2,,Multiplier on the flood spread chance under Sunny.
initialSmallRainFloodExpansionRateMultiplier,0.5,,FloodSystem,0,,10,,Tiles the flood expands per round under SmallRain.
initialSmallRainFloodSpreadChanceMultiplier,0.8,,FloodSystem,0,,2,,Multiplier on the flood spread chance under SmallRain.
initialMediumRainFloodExpansionRateMultiplier,1.5,,FloodSystem,0,,10,,Tiles the flood expands per round under MediumRain.
initialMediumRainFloodSpreadChanceMultiplier,1,,FloodSystem,0,,2,,Multiplier on the flood spread chance under MediumRain.
initialHeavyRainFloodExpansionRateMultiplier,3,,FloodSystem,0,,10,,Tiles the flood expands per round under HeavyRain.
initialHeavyRainFloodSpreadChanceMultiplier,1.2,,FloodSystem,0,,2,,Multiplier on the flood spread chance under HeavyRain.
initialStormFloodExpansionRateMultiplier,5,,FloodSystem,0,,10,,Tiles the flood expands per round under Storm.
initialStormFloodSpreadChanceMultiplier,1.5,,FloodSystem,0,,2,,Multiplier on the flood spread chance under Storm.
initialKitchenFoodCapacity,200,,,,,,,The max amount of food packs a kitchen can contain at once.
initialShelterFoodCapacity,100,,,,,,,The max amount of food packs a shelter can contain at once.
